
Timer;Current page;Current chap;Reached page;Reched chap;Action;Time from test begining;Time from page begining;Video timer;Time from chap begining;Time from PLAY;Curr slide Chap;Reached slide Chap;Time from chap slide begining
18/07/2019(jeu.)-12:36:01;4;1;;;VIDEO_START;99,22;0,21;0;;;;;
18/07/2019(jeu.)-12:36:03;4;1;5;;NEXT_PAGE;101,67;2,67;2,40;5,55;2,63;;;
18/07/2019(jeu.)-12:36:03;5;;;;START_PAGE;101,67;0;;;;;;
18/07/2019(jeu.)-12:36:03;5;;;;PAUSE;101,72;0,05;;;;;;
18/07/2019(jeu.)-12:36:03;5;;;;CHAP_SLIDE_ATT;101,89;0,22;;;;1;1;
18/07/2019(jeu.)-12:36:12;5;;;;NEXT_SLIDE;110,81;9,14;;;;1;;8,92
18/07/2019(jeu.)-12:36:13;5;;;;NEXT_SLIDE;112,01;10,34;;;;2;;10,12
18/07/2019(jeu.)-12:36:15;5;;;;NEXT_SLIDE;113,19;11,52;;;;3;;11,30
18/07/2019(jeu.)-12:36:16;5;;;;NEXT_SLIDE;114,76;13,09;;;;4;;12,87
18/07/2019(jeu.)-12:36:16;5;;;;CHAP_SLIDE_ATT;114,76;13,09;;;;4;5;12,87
18/07/2019(jeu.)-12:36:19;5;;;;NEXT_SLIDE;117,86;16,19;;;;5;;3,10
18/07/2019(jeu.)-12:36:20;5;;;;NEXT_SLIDE;118,94;17,27;;;;6;;4,18
18/07/2019(jeu.)-12:36:22;5;;;;GOTO_SLIDE;120,73;19,05;;;;7;;5,97
18/07/2019(jeu.)-12:36:22;5;;;;CHAP_SLIDE_ATT;120,73;19,06;;;;7;11;5,97
18/07/2019(jeu.)-12:36:25;5;;;;GOTO_SLIDE;124,01;22,34;;;;11;;3,28
18/07/2019(jeu.)-12:36:25;5;;;;CHAP_SLIDE_ATT;124,01;22,34;;;;11;1;3,28
18/07/2019(jeu.)-12:36:32;5;;2;;SOMMAIRE;130,88;29,21;;;;;;6,87
18/07/2019(jeu.)-12:36:32;2;;;;START_PAGE;130,89;0;;;;;;
18/07/2019(jeu.)-12:36:32;2;2;;1;CHAP_ATT;130,95;0,06;0;34,83;31,91;;;
18/07/2019(jeu.)-12:36:34;2;2;;;PLAY;132,30;1,41;0;1,35;33,26;;;
18/07/2019(jeu.)-12:36:34;2;2;;;VIDEO_START;132,30;1,41;0;;;;;
18/07/2019(jeu.)-12:36:35;2;2;;;PAUSE;133,77;2,88;1,40;2,82;1,47;;;
18/07/2019(jeu.)-12:36:36;2;2;;;PLAY;134,23;3,34;1,46;3,28;1,93;;;
18/07/2019(jeu.)-12:36:37;2;2;;;CHAP_USED;135,48;4,59;2,65;4,53;1,25;;;
18/07/2019(jeu.)-12:36:37;2;3;;2;CHAP_ATT;135,95;5,05;12,00;5,00;1,72;;;
18/07/2019(jeu.)-12:36:38;2;3;;;PAUSE;136,45;5,56;12,44;0,51;2,22;;;
18/07/2019(jeu.)-12:36:38;2;3;;;PLAY;136,85;5,96;12,50;0,91;2,62;;;
18/07/2019(jeu.)-12:36:39;2;3;;;PAUSE;137,22;6,33;12,81;1,27;0,37;;;
18/07/2019(jeu.)-12:36:39;2;3;;;PLAY;137,65;6,76;12,88;1,71;0,80;;;
18/07/2019(jeu.)-12:36:40;2;3;;;PAUSE;138,40;7,51;13,57;2,46;0,75;;;
18/07/2019(jeu.)-12:36:41;2;3;6;;SOMMAIRE;139,75;8,86;13,57;3,81;2,10;;;
18/07/2019(jeu.)-12:36:41;6;;;;START_PAGE;139,75;0;;;;;;
18/07/2019(jeu.)-12:36:43;6;;;;NEXT_SLIDE;142,00;2,25;;;;1;;
18/07/2019(jeu.)-12:36:44;6;;;;NEXT_SLIDE;142,62;2,86;;;;2;;
18/07/2019(jeu.)-12:36:44;6;;;;NEXT_SLIDE;143,10;3,34;;;;3;;
18/07/2019(jeu.)-12:36:45;6;;;;NEXT_SLIDE;143,54;3,79;;;;4;;
18/07/2019(jeu.)-12:36:46;6;;;;NEXT_SLIDE;144,44;4,69;;;;5;;
18/07/2019(jeu.)-12:36:46;6;;;;NEXT_SLIDE;144,94;5,18;;;;6;;
18/07/2019(jeu.)-12:36:47;6;;;;NEXT_SLIDE;145,42;5,66;;;;7;;
18/07/2019(jeu.)-12:36:47;6;;;;NEXT_SLIDE;145,88;6,13;;;;8;;
18/07/2019(jeu.)-12:36:48;6;;;;NEXT_SLIDE;146,29;6,54;;;;9;;
18/07/2019(jeu.)-12:36:48;6;;7;;NEXT_PAGE;146,97;7,22;;;;;;
18/07/2019(jeu.)-12:36:48;7;;;;START_PAGE;146,97;0;;;;;;
18/07/2019(jeu.)-12:36:50;7;;6;;PREV_PAGE;148,87;1,90;;;;;;
18/07/2019(jeu.)-12:36:50;6;;;;START_PAGE;148,87;0;;;;;;
18/07/2019(jeu.)-12:36:51;6;;7;;SOMMAIRE;150,12;1,25;;;;;;
18/07/2019(jeu.)-12:36:51;7;;;;START_PAGE;150,12;0;;;;;;
18/07/2019(jeu.)-12:36:54;7;;;;NEXT_PAGE;153,11;2,99;;;;;;
18/07/2019(jeu.)-12:36:54;;;;;END;153,11;;;;;;;
